source	species	strain_original_name	group	genome_size_Mb	nb_contigs	contig_N50_kb	contig_L50	nb_scaffolds	scaffold_N50_kb	scaffold_L50	genome_coverage_x	assembly_level	completeness_pc	contamination_pc	reference_genome	NCBI_RefSeq_assembly	assembly	GenBank_assembly	contigs(JB)	size_b(JB)	N50_b(JB)	fna_file	corresponds_to_JB_fna_file	notes
NCBI	M_sp_040	AMS5	B	5,599	4	5435,450	1	4	5435,450	1	109,8	complete	99,75	0,76	no	GCF_001542815.1	ASM154281v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/815/GCF_001542815.1_ASM154281v1/GCF_001542815.1_ASM154281v1_genomic.fna.gz	yes	
NCBI	M_sp_041	P-1M	B	5,944	6	5705,640	1	6	5705,640	1	334,0	complete	99,68	0,00	no	GCF_002355515.1	ASM235551v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/515/GCF_002355515.1_ASM235551v1/GCF_002355515.1_ASM235551v1_genomic.fna.gz	yes	identified as Methylorubrum populi in NCBI
NCBI	M_sp_042	174MFSha1.1	C	7,437	94	165,539	16	87	171,304	15	278,0	scaffold	99,02	2,20	no	GCF_900116815.1	IMG-taxon_2590828856_annotated_assembly	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/815/GCF_900116815.1_IMG-taxon_2590828856_annotated_assembly/GCF_900116815.1_IMG-taxon_2590828856_annotated_assembly_genomic.fna.gz	yes	
NCBI	M_sp_043	17Sr1-1	C	6,543	1	6542,583	1	1	6542,583	1	126,0	complete	97,21	1,18	no	GCF_003173775.1	ASM317377v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/775/GCF_003173775.1_ASM317377v1/GCF_003173775.1_ASM317377v1_genomic.fna.gz	yes	
NCBI	M_sp_044	4-46	C	7,737	3	7659,055	1	3	7659,055	1	71,5	complete	99,30	0,25	no	GCF_000019365.1	ASM1936v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/365/GCF_000019365.1_ASM1936v1/GCF_000019365.1_ASM1936v1_genomic.fna.gz	yes	
NCBI	M_sp_045	DB0501	C	7,584	88	240,180	11	na	na	na	168,4	contig	98,06	1,76	no	GCF_011043735.1	ASM1104373v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/043/735/GCF_011043735.1_ASM1104373v1/GCF_011043735.1_ASM1104373v1_genomic.fna.gz	yes-new_blast	
ALESSA	M_suomiense	DSM14458T	B	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	56	5542963	333429	Mr_suomiense.fas	yes	identified as Methylorubrum in Alessa and in NCBI
NCBI	M_symbioticum	SB0023/3	A	6,087	247	51,249	37	na	na	na	57,0	contig	98,33	0,25	yes	GCF_902141845.1	CECT_9862	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/141/845/GCF_902141845.1_CECT_9862/GCF_902141845.1_CECT_9862_genomic.fna.gz	yes	
ALESSA	M_tardum	NBRC103632T	A	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	143	6878587	165545	Mb_tardum.fas	yes	
ALESSA	M_tarhaniae	DSM25844T	C	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	480	6720585	35163	Mb_tarhaniae.fas	yes	
NCBI	M_terrae	17Sr1-28	C	6,163	1	6162,702	1	1	6162,702	1	180,0	complete	97,95	0,93	yes	GCF_003173755.1	ASM317375v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/755/GCF_003173755.1_ASM317375v1/GCF_003173755.1_ASM317375v1_genomic.fna.gz	yes	
NCBI	M_terricola	17Sr1-39	C	7,873	112	244,124	10	103	258,273	8	12,0	scaffold	99,12	1,04	yes	GCF_006151805.1	ASM615180v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/151/805/GCF_006151805.1_ASM615180v1/GCF_006151805.1_ASM615180v1_genomic.fna.gz	yes	
NCBI	M_thiocyanatum	BJ001	B	5,849	3	5800,441	1	3	5800,441	1	na	complete	99,68	0,00	yes	GCF_000019945.1	ASM1994v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1/GCF_000019945.1_ASM1994v1_genomic.fna.gz	yes	identified as Methylorubrum populi in NCBI
ALESSA	M_thuringiense	DSM23674	B	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	47	4702741	262726	Mb_thuringiense.fas	yes	
ALESSA	M_trifolii	DSM23632	A	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	424	5133186	20032	Mb_trifolii.fas	yes	
ALESSA	M_variabile	DSM16961T	C	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	560	7398003	32604	Mb_variabile.fas	yes	
ALESSA	M_zatmanii	LMG6087	B	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	391	5203102	29239	Mr_zatmanii.fas	yes	identified as Methylorubrum in Alessa and in NCBI
