gene_cluster_id;focal;reference;comp;type;genome_occurences;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;KEGG_BRITE_ACC;KEGG_BRITE;split_level_1;split_level_2;split_level_3;split_level_4;split_level_5;split_level_6;KEGG_category;KOfam_function;KEGG_Class_ACC;KEGG_Class;KEGG_Module_ACC;KEGG_Module;KOfam_ACC;KOfam;COG20_CATEGORY_ACC;COG20_CATEGORY;COG20_PATHWAY_ACC;COG20_PATHWAY;COG20_FUNCTION_ACC;COG20_FUNCTION;Pfam_ACC;Pfam
GC_00004663;broadleaf;conifer;broadleaf_vs_conifer;accessory;29;2.13498061733722;1.99650632004303;0.630797818546159;3.16504949976604;0.00155056569805876;0.0290118165107011;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];branched-chain amino acid transport system permease protein;NA;NA;NA;NA;K01998;branched-chain amino acid transport system permease protein;E;Amino acid transport and metabolism;NA;NA;COG4177;ABC-type branched-chain amino acid transport system, permease component (LivM);PF02653.20;Branched-chain amino acid transport system / permease component
GC_00003008;broadleaf;conifer;broadleaf_vs_conifer;accessory;60;3.54071121560981;1.60054844323432;0.450124045763055;3.55579413786049;3.76839073934863e-4;0.013413115787869;ko00001|ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];sulfonate transport system permease protein;NA;NA;NA;NA;K15554;sulfonate transport system permease protein;P;Inorganic ion transport and metabolism;NA;NA;COG0600;ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00002671;broadleaf;conifer;broadleaf_vs_conifer;accessory;74;3.48472577109274;1.35506160851013;0.438232172691438;3.09210891612067;0.00198739915039522;0.033839281493181;ko00001|ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];nitrate/nitrite transport system permease protein;M00615;"Signature modules; Module set; Metabolic capacity";M00615;Nitrate assimilation;K15577;nitrate/nitrite transport system permease protein;P;Inorganic ion transport and metabolism;NA;NA;COG0600;ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00000066;broadleaf;conifer;broadleaf_vs_conifer;core;97;13.7996091823168;1.33416476009443;0.243477873494284;5.4796139827702;4.26254775960323e-8;4.9934920705857e-5;ko00001|ko02000|ko02044;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];ATP-binding cassette, subfamily C, type I secretion system permease/ATPase;NA;NA;NA;NA;K12536;ATP-binding cassette, subfamily C, type I secretion system permease/ATPase;U;Intracellular trafficking, secretion, and vesicular transport;NA;NA;COG4618;ABC-type protease/lipase transport system, ATPase and permease components (ArpD) (PDB:5L22);PF00005.31;ABC transporter
GC_00012885;conifer;shrub;conifer_vs_shrub;accessory;6;2.02308698031344;2.9484457200235;1.03657219914732;2.84441905971324;0.00444924884156024;0.0476814098514506;ko00001|ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];branched-chain amino acid transport system substrate-binding protein;NA;NA;NA;NA;K01999;branched-chain amino acid transport system substrate-binding protein;E;Amino acid transport and metabolism;NA;NA;COG0683;ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG);PF13458.10;Periplasmic binding protein
GC_00005101;conifer;shrub;conifer_vs_shrub;accessory;25;4.30294432236305;1.46639665561409;0.51196568620287;2.86424792741485;0.00418000700240379;0.0463217669721422;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];molybdate transport system substrate-binding protein;NA;NA;NA;NA;K02020;molybdate transport system substrate-binding protein;P;Inorganic ion transport and metabolism;COG0725;Molybdopterin biosynthesis;COG0725;ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF);PF13531.10;Bacterial extracellular solute-binding protein
GC_00002109;conifer;shrub;conifer_vs_shrub;accessory;50;15.6997760579912;1.34843189777177;0.376763185384307;3.5789905969617;3.44923876754818e-4;0.0112224432540947;ko00001|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];multiple sugar transport system ATP-binding protein [EC:7.5.2.-];NA;NA;NA;NA;K10112_or_K10111;multiple sugar transport system ATP-binding protein [EC:7.5.2.-];G;Carbohydrate transport and metabolism;NA;NA;COG3839;ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK);PF00005.31;ABC transporter
GC_00004046;shrub;conifer;shrub_vs_conifer;accessory;25;1.73197354140288;2.61992857003964;0.819319514041758;3.19768847822915;0.00138533847341774;0.0253221194219773;ko00001|ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];branched-chain amino acid transport system permease protein;NA;NA;NA;NA;K01997;branched-chain amino acid transport system permease protein;E;Amino acid transport and metabolism;NA;NA;COG0559;Branched-chain amino acid ABC-type transport system, permease component (LivH);PF02653.20;Branched-chain amino acid transport system / permease component
GC_00002757;shrub;conifer;shrub_vs_conifer;accessory;70;1.90388511158852;2.49714582876399;0.756223656513886;3.30212604069486;9.59549421061066e-4;0.0210945270024614;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];osmoprotectant transport system substrate-binding protein;NA;NA;NA;NA;K05845;osmoprotectant transport system substrate-binding protein;M;Cell wall/membrane/envelope biogenesis;NA;NA;COG1732;Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP);PF04069.16;Substrate binding domain of ABC-type glycine betaine transport system
GC_00003535;shrub;conifer;shrub_vs_conifer;accessory;48;3.33919454175532;1.43306548631195;0.488886136590852;2.93128681517774;0.00337560964613436;0.0404973582030337;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];general nucleoside transport system ATP-binding protein;NA;NA;NA;NA;K23537;general nucleoside transport system ATP-binding protein;F;Nucleotide transport and metabolism;NA;NA;COG3845;ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227);PF00005.31;ABC transporter
GC_00003938;shrub;conifer;shrub_vs_conifer;accessory;38;4.3500041536626;1.14690308720901;0.394891418388842;2.90435049687426;0.00368015916686991;0.0427634495190283;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];general nucleoside transport system permease protein;NA;NA;NA;NA;K23536;general nucleoside transport system permease protein;F;Nucleotide transport and metabolism;NA;NA;COG1079;ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227);PF02653.20;Branched-chain amino acid transport system / permease component
GC_00003961;broadleaf-tree;shrub;broadleaf-tree_vs_shrub;accessory;37;9.57393445586635;1.55988420007018;0.442709252549034;3.52349581827953;4.25893817447786e-4;0.00635216097938081;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];putative multiple sugar transport system substrate-binding protein;NA;NA;NA;NA;K10546;putative multiple sugar transport system substrate-binding protein;G;Carbohydrate transport and metabolism;NA;NA;COG4213;ABC-type xylose transport system, periplasmic component (XylF) (PDB:4YWH);PF13407.10;Periplasmic binding protein domain
GC_00004379;broadleaf-tree;shrub;broadleaf-tree_vs_shrub;accessory;32;12.0951516086541;1.23878884032702;0.41144791139839;3.01080356956179;0.00260557350359722;0.0217967284598415;ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;ABC transporters [PATH:ko02010];Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];sn-glycerol 3-phosphate transport system permease protein;NA;NA;NA;NA;K05815;sn-glycerol 3-phosphate transport system permease protein;G;Carbohydrate transport and metabolism;NA;NA;COG0395;ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00016438;conifer;broadleaf;conifer_vs_broadleaf;accessory;5;1.46853866336661;3.23914060916549;0.727336375848541;4.45342858782029;8.45098243068137e-6;0.00216283990685597;ko00001|ko00001|ko02044;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;Bacterial secretion system [PATH:ko03070];Environmental Information Processing > Membrane transport > Bacterial secretion system [PATH:ko03070];general secretion pathway protein H;NA;NA;NA;NA;K02457;general secretion pathway protein H;N|W;Cell motility|Extracellular structures;NA;NA;COG4970;"Type IV pilus assembly protein FimT (FimT) (PUBMED:17322192;28771515)";PF07963.16;Prokaryotic N-terminal methylation motif
GC_00015665;broadleaf;conifer;broadleaf_vs_conifer;accessory;4;1.92578530643614;2.95377893893148;0.757136376894261;3.90125085661284;9.5696919391906e-5;0.00653695570557739;ko00001|ko02000|ko02044;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;Bacterial secretion system [PATH:ko03070];Environmental Information Processing > Membrane transport > Bacterial secretion system [PATH:ko03070];membrane fusion protein, hemolysin D;M00575;"Signature modules; Gene set; Pathogenicity";M00575;Pertussis pathogenicity signature, T1SS;K11003;membrane fusion protein, hemolysin D;V;Defense mechanisms;NA;NA;COG1566;Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO);PF13437.10;HlyD family secretion protein
GC_00010671;broadleaf;conifer;broadleaf_vs_conifer;accessory;9;1.54107943654839;2.9199439632761;0.755536130006384;3.86473107944081;1.11211659966713e-4;0.00695798157050093;ko00001|ko00001|ko02000|ko02044;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;Bacterial secretion system [PATH:ko03070];Environmental Information Processing > Membrane transport > Bacterial secretion system [PATH:ko03070];ATP-binding cassette, subfamily B, bacterial HlyB/CyaB;M00575;"Signature modules; Gene set; Pathogenicity";M00575;Pertussis pathogenicity signature, T1SS;K11004;ATP-binding cassette, subfamily B, bacterial HlyB/CyaB;V;Defense mechanisms;NA;NA;COG2274;ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain (SunT) (PDB:3K8U);PF00664.27;ABC transporter transmembrane region
GC_00023429;broadleaf;conifer;broadleaf_vs_conifer;accessory;3;0.967750788593224;2.88798039865132;0.865874221109104;3.33533477293282;8.51967661595958e-4;0.021164175684943;ko00001|ko00001|ko02044;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Membrane transport;Bacterial secretion system [PATH:ko03070];Environmental Information Processing > Membrane transport > Bacterial secretion system [PATH:ko03070];general secretion pathway protein H;NA;NA;NA;NA;K02457;general secretion pathway protein H;N|W;Cell motility|Extracellular structures;NA;NA;COG4970;"Type IV pilus assembly protein FimT (FimT) (PUBMED:17322192;28771515)";PF07963.16;Prokaryotic N-terminal methylation motif
GC_00001735;conifer;broadleaf;conifer_vs_broadleaf;core;101;23.4081995106252;0.828006649903714;0.276242195381332;2.99739382233301;0.00272298694697597;0.0398904454354422;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04068 FoxO signaling pathway [PATH:ko04068];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;FoxO signaling pathway [PATH:ko04068];Environmental Information Processing > Signal transduction > FoxO signaling pathway [PATH:ko04068];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00005515;broadleaf;conifer;broadleaf_vs_conifer;accessory;22;5.23885269373207;1.21575796266995;0.338398032704521;3.5926862604769;3.27286554597371e-4;0.0121229068515904;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04068 FoxO signaling pathway [PATH:ko04068];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;FoxO signaling pathway [PATH:ko04068];Environmental Information Processing > Signal transduction > FoxO signaling pathway [PATH:ko04068];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00008965;conifer;shrub;conifer_vs_shrub;accessory;11;10.4126218283838;1.64201435806088;0.54194339514423;3.02986321592476;0.00244664517987532;0.0349835593997174;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04068 FoxO signaling pathway [PATH:ko04068];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;FoxO signaling pathway [PATH:ko04068];Environmental Information Processing > Signal transduction > FoxO signaling pathway [PATH:ko04068];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];V|P;Defense mechanisms|Inorganic ion transport and metabolism;NA;NA;COG0693|COG0753;"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)|Catalase (KatE) (PDB:6RJR)";PF00199.23;Catalase
GC_00013826;conifer;broadleaf;conifer_vs_broadleaf;accessory;6;1.55580944735287;2.77969322893298;0.76809630520079;3.61893841971592;2.95814013370402e-4;0.0116641576015138;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000|ko04131|ko03036|ko04147;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04066 HIF-1 signaling pathway [PATH:ko04066];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;HIF-1 signaling pathway [PATH:ko04066];Environmental Information Processing > Signal transduction > HIF-1 signaling pathway [PATH:ko04066];fructose-bisphosphate aldolase, class I [EC:4.1.2.13];M00001|M00003|M00165|M00167|M00611|M00612;"Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Energy metabolism; Carbon fixation|Pathway modules; Energy metabolism; Carbon fixation|Signature modules; Module set; Metabolic capacity|Signature modules; Module set; Metabolic capacity";M00001|M00003|M00165|M00167|M00611|M00612;Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate|Gluconeogenesis, oxaloacetate => fructose-6P|Reductive pentose phosphate cycle (Calvin cycle)|Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P|Oxygenic photosynthesis in plants and cyanobacteria|Anoxygenic photosynthesis in purple bacteria;K01623;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];G;Carbohydrate transport and metabolism;COG3588;Glycolysis;COG3588;Fructose-bisphosphate aldolase class 1 (Fba1);PF00274.23;Fructose-bisphosphate aldolase class-I
GC_00001735;conifer;broadleaf;conifer_vs_broadleaf;core;101;23.4081995106252;0.828006649903714;0.276242195381332;2.99739382233301;0.00272298694697597;0.0398904454354422;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04016 MAPK signaling pathway - plant [PATH:ko04016];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - plant [PATH:ko04016];Environmental Information Processing > Signal transduction > MAPK signaling pathway - plant [PATH:ko04016];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00022541;broadleaf;conifer;broadleaf_vs_conifer;accessory;3;1.2220232935995201;2.57506451012214;0.848342138150091;3.0354079967516;0.00240210497952453;0.0372298160887664;ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04016 MAPK signaling pathway - plant [PATH:ko04016];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - plant [PATH:ko04016];Environmental Information Processing > Signal transduction > MAPK signaling pathway - plant [PATH:ko04016];P-type Cu+ transporter [EC:7.2.2.8];NA;NA;NA;NA;K17686;P-type Cu+ transporter [EC:7.2.2.8];P;Inorganic ion transport and metabolism;NA;NA;COG2217;Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ);PF00122.24;E1-E2 ATPase
GC_00005515;broadleaf;conifer;broadleaf_vs_conifer;accessory;22;5.23885269373207;1.21575796266995;0.338398032704521;3.5926862604769;3.27286554597371e-4;0.0121229068515904;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04016 MAPK signaling pathway - plant [PATH:ko04016];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - plant [PATH:ko04016];Environmental Information Processing > Signal transduction > MAPK signaling pathway - plant [PATH:ko04016];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00008965;conifer;shrub;conifer_vs_shrub;accessory;11;10.4126218283838;1.64201435806088;0.54194339514423;3.02986321592476;0.00244664517987532;0.0349835593997174;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04016 MAPK signaling pathway - plant [PATH:ko04016];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - plant [PATH:ko04016];Environmental Information Processing > Signal transduction > MAPK signaling pathway - plant [PATH:ko04016];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];V|P;Defense mechanisms|Inorganic ion transport and metabolism;NA;NA;COG0693|COG0753;"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)|Catalase (KatE) (PDB:6RJR)";PF00199.23;Catalase
GC_00001735;conifer;broadleaf;conifer_vs_broadleaf;core;101;23.4081995106252;0.828006649903714;0.276242195381332;2.99739382233301;0.00272298694697597;0.0398904454354422;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04011 MAPK signaling pathway - yeast [PATH:ko04011];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - yeast [PATH:ko04011];Environmental Information Processing > Signal transduction > MAPK signaling pathway - yeast [PATH:ko04011];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00005515;broadleaf;conifer;broadleaf_vs_conifer;accessory;22;5.23885269373207;1.21575796266995;0.338398032704521;3.5926862604769;3.27286554597371e-4;0.0121229068515904;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04011 MAPK signaling pathway - yeast [PATH:ko04011];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - yeast [PATH:ko04011];Environmental Information Processing > Signal transduction > MAPK signaling pathway - yeast [PATH:ko04011];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];P;Inorganic ion transport and metabolism;NA;NA;COG0753;Catalase (KatE) (PDB:6RJR);PF00199.23;Catalase
GC_00008965;conifer;shrub;conifer_vs_shrub;accessory;11;10.4126218283838;1.64201435806088;0.54194339514423;3.02986321592476;0.00244664517987532;0.0349835593997174;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04011 MAPK signaling pathway - yeast [PATH:ko04011];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;MAPK signaling pathway - yeast [PATH:ko04011];Environmental Information Processing > Signal transduction > MAPK signaling pathway - yeast [PATH:ko04011];catalase [EC:1.11.1.6];M00532;"Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism";M00532;Photorespiration;K03781;catalase [EC:1.11.1.6];V|P;Defense mechanisms|Inorganic ion transport and metabolism;NA;NA;COG0693|COG0753;"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)|Catalase (KatE) (PDB:6RJR)";PF00199.23;Catalase
GC_00000121;conifer;broadleaf;conifer_vs_broadleaf;accessory;85;9.63613502382476;0.751019667165277;0.230696806383555;3.25544024184121;0.00113216719235495;0.0243515973185661;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000|ko03036;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04014 Ras signaling pathway [PATH:ko04014];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;Ras signaling pathway [PATH:ko04014];Environmental Information Processing > Signal transduction > Ras signaling pathway [PATH:ko04014];secretory phospholipase A2 [EC:3.1.1.4];NA;NA;NA;NA;K01047;secretory phospholipase A2 [EC:3.1.1.4];NA;NA;NA;NA;NA;NA;PF08398.14;Phospholipase A2-like domain
GC_00001017;tree;shrub;tree_vs_shrub;core;104;47.177108229347;2.0380097692775;0.420271744256173;4.84926668787719;1.23918726217635e-6;4.80795906573642e-4;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000|ko04147;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;Two-component system [PATH:ko02020];Environmental Information Processing > Signal transduction > Two-component system [PATH:ko02020];glutamine synthetase [EC:6.3.1.2];NA;NA;NA;NA;K01915;glutamine synthetase [EC:6.3.1.2];E;Amino acid transport and metabolism;COG0174;Glutamine biosynthesis;COG0174;Glutamine synthetase (GlnA) (PDB:1F1H);PF00120.28;Glutamine synthetase, catalytic domain
GC_00001586;tree;shrub;tree_vs_shrub;core;103;35.4389759537217;1.83452689320111;0.401074464350289;4.57403065082419;4.78429802609137e-6;0.00100919692604915;ko00001|ko00001|ko02022;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020];NA;NA;KEGG Orthology (KO);Environmental Information Processing;Signal transduction;Two-component system [PATH:ko02020];Environmental Information Processing > Signal transduction > Two-component system [PATH:ko02020];two-component system, cell cycle response regulator CpdR;NA;NA;NA;NA;K13589;two-component system, cell cycle response regulator CpdR;T;Signal transduction mechanisms;NA;NA;COG2204;DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2);PF00072.28;Response regulator receiver domain
